condition_id,method,bit_width,seed,dataset,metric_scope,sequence_length,normalized_key_mse,original_key_mse,original_key_relative_mse,mean_key_cosine,worst_head_normalized_mse,worst_layer,worst_head,vectors_per_head,attention_logit_mse,attention_logit_bias,attention_logit_error_variance,attention_probability_kl,attention_output_mse,worst_attention_kl,worst_attention_layer
learned_b3_s29,learned,3,29,wikitext,attention,1024,,,,,,,,,0.2146881336119117,0.08663890858248967,0.2071818331315467,0.03407164811505936,0.0003626851022531241,0.0627249926328659,12
learned_b3_s29,learned,3,29,tinystories,reconstruction,1024,0.00022836247022439693,0.1391830014254083,0.029281543779088155,0.9855465661967173,0.0002493591600796208,30,4,1024,,,,,,,
learned_b3_s29,learned,3,29,tinystories,attention,128,,,,,,,,,0.16472032897232114,0.054972732454076294,0.1616983276588537,0.023666114400839433,0.0003067393743805269,0.04377752169966698,12
learned_b3_s29,learned,3,29,tinystories,attention,256,,,,,,,,,0.19294034414254274,0.058236577225566376,0.1895488452155934,0.03155906454776414,0.0003458762533625759,0.05865887552499771,12
learned_b3_s29,learned,3,29,tinystories,attention,512,,,,,,,,,0.21387627691785727,0.06769403816358736,0.20929379411496404,0.03684657145640813,0.0003749128089793885,0.06740643084049225,12
learned_b3_s29,learned,3,29,tinystories,attention,1024,,,,,,,,,0.23563042873289528,0.07795495522730961,0.22955345368840344,0.041317969909869134,0.0004000205928491596,0.0754985436797142,12
random_b3_s43,random,3,43,wikitext,reconstruction,1024,0.0002664574965507427,0.14815676163561875,0.03416008073537357,0.9830246863421053,0.0003859390490106307,1,1,1024,,,,,,,
random_b3_s43,random,3,43,wikitext,attention,128,,,,,,,,,0.22352542017781457,0.13797469448673633,0.20448840385910635,0.023888778203399852,0.00035857800972394216,0.04551210626959801,1
random_b3_s43,random,3,43,wikitext,attention,256,,,,,,,,,0.24546164946797294,0.16455220294833647,0.21838422197282242,0.028447316493839025,0.00038915568781305865,0.05089579522609711,1
random_b3_s43,random,3,43,wikitext,attention,512,,,,,,,,,0.2781614513657479,0.19183045660543163,0.2413625272842995,0.03465348016470671,0.0004276114345742599,0.05697065591812134,12
random_b3_s43,random,3,43,wikitext,attention,1024,,,,,,,,,0.30275072562985306,0.2097954696562232,0.2587365865415778,0.041018798074219376,0.0004561961728342112,0.0678025484085083,12
random_b3_s43,random,3,43,tinystories,reconstruction,1024,0.0002651918463527636,0.16148294736922253,0.03397304228636128,0.9831051718210801,0.0003992501806351356,6,3,1024,,,,,,,
random_b3_s43,random,3,43,tinystories,attention,128,,,,,,,,,0.21526880735574766,0.1338258740282798,0.19735944279631465,0.02784224765491672,0.00038740108378476634,0.048607565462589264,12
random_b3_s43,random,3,43,tinystories,attention,256,,,,,,,,,0.2531676408381778,0.1494870226438871,0.23082127089924376,0.03664732171455398,0.00043447256092576936,0.06666150689125061,12
random_b3_s43,random,3,43,tinystories,attention,512,,,,,,,,,0.2869809454644633,0.17661950590550085,0.25578649559816,0.04269815795123577,0.0004613638625698968,0.07520725578069687,12
random_b3_s43,random,3,43,tinystories,attention,1024,,,,,,,,,0.3245095876368081,0.20740142194236197,0.2814942378130944,0.04838425910566002,0.0004966721127175333,0.08280137926340103,12
learned_b3_s43,learned,3,43,wikitext,reconstruction,1024,0.0002271739301420439,0.12657547559865634,0.029184145346012373,0.9856168041587807,0.00024488679264322855,13,5,1024,,,,,,,
learned_b3_s43,learned,3,43,wikitext,attention,128,,,,,,,,,0.16869149767151176,0.05901671223371297,0.16520852534863487,0.0193990619154647,0.0002797560022003154,0.037931524217128754,31
learned_b3_s43,learned,3,43,wikitext,attention,256,,,,,,,,,0.18099154433387726,0.06896858226058548,0.1762348789948421,0.02337140534655191,0.0003111464307608003,0.04203636199235916,31
learned_b3_s43,learned,3,43,wikitext,attention,512,,,,,,,,,0.20173966117769654,0.0805113960863554,0.19525757627792253,0.028662700322456658,0.0003389307510559547,0.051782771944999695,7
